tweet_id,timestamp,source,expanded_urls,rating,dog_stage,favorite_count,retweet_count
672264251789176834,2015-12-03,twitter,rateDogs photo,10,None,1181,357
672267570918129665,2015-12-03,twitter,rateDogs photo,10,None,1539,640
672272411274932228,2015-12-03,twitter,rateDogs photo,11,None,6657,3556
672466075045466113,2015-12-03,twitter,rateDogs photo,12,None,1393,567
672475084225949696,2015-12-03,twitter,rateDogs photo,8,None,1483,734
672481316919734272,2015-12-03,twitter,rateDogs photo,12,pupper,734,128
672482722825261057,2015-12-03,twitter,rateDogs photo,10,None,1170,635
672488522314567680,2015-12-03,twitter,rateDogs photo,10,None,1146,456
672523490734551040,2015-12-03,twitter,rateDogs photo,10,None,665,180
672538107540070400,2015-12-03,twitter,rateDogs photo,7,None,1060,390
672591271085670400,2015-12-04,twitter,rateDogs photo,8,None,750,195
672591762242805761,2015-12-04,twitter,rateDogs photo,10,None,979,347
672594978741354496,2015-12-04,twitter,rateDogs photo,9,pupper,1367,633
672604026190569472,2015-12-04,twitter,rateDogs photo,11,None,1145,426
672609152938721280,2015-12-04,twitter,rateDogs photo,9,None,1149,407
672614745925664768,2015-12-04,twitter,rateDogs photo,6,pupper,1263,615
672622327801233409,2015-12-04,twitter,rateDogs photo,12,pupper,1332,518
672640509974827008,2015-12-04,twitter,rateDogs photo,9,None,1002,338
672828477930868736,2015-12-04,twitter,rateDogs photo,9,None,1292,510
672834301050937345,2015-12-04,twitter,rateDogs photo,10,None,1351,598
672877615439593473,2015-12-04,twitter,rateDogs photo,8,None,1059,388
672884426393653248,2015-12-04,twitter,rateDogs photo,6,None,1601,867
672898206762672129,2015-12-04,twitter,rateDogs photo,11,pupper,918,441
672902681409806336,2015-12-04,twitter,rateDogs photo,9,None,1410,529
672964561327235073,2015-12-05,twitter,rateDogs photo,10,None,1466,674
672968025906282496,2015-12-05,twitter,rateDogs photo,11,None,1356,573
672970152493887488,2015-12-05,twitter,rateDogs photo,7,pupper,989,373
672975131468300288,2015-12-05,twitter,rateDogs photo,10,pupper,1739,964
672980819271634944,2015-12-05,twitter,rateDogs photo,5,None,1865,1048
672984142909456390,2015-12-05,twitter,rateDogs photo,9,None,1288,568
672988786805112832,2015-12-05,twitter,rateDogs photo,10,pupper,1007,304
672995267319328768,2015-12-05,twitter,rateDogs photo,8,None,986,311
672997845381865473,2015-12-05,twitter,rateDogs photo,12,None,2030,757
673148804208660480,2015-12-05,twitter,rateDogs photo,8,pupper,1758,660
673213039743795200,2015-12-05,twitter,rateDogs photo,10,None,2328,890
673240798075449344,2015-12-05,twitter,rateDogs photo,6,None,1462,764
673270968295534593,2015-12-05,twitter,rateDogs photo,11,None,1096,389
673295268553605120,2015-12-06,twitter,rateDogs photo,8,pupper,7760,3334
673317986296586240,2015-12-06,twitter,rateDogs photo,10,None,894,278
673320132811366400,2015-12-06,twitter,rateDogs photo,11,None,13936,8367
673342308415348736,2015-12-06,twitter,rateDogs photo,10,pupper,1310,621
673343217010679808,2015-12-06,twitter,rateDogs photo,11,None,1004,281
673345638550134785,2015-12-06,twitter,rateDogs photo,7,None,2609,1353
673350198937153538,2015-12-06,twitter,rateDogs photo,9,None,759,223
673352124999274496,2015-12-06,twitter,rateDogs photo,12,None,1709,569
673355879178194945,2015-12-06,twitter,rateDogs photo,11,None,1541,617
673359818736984064,2015-12-06,twitter,rateDogs photo,8,None,1501,702
673363615379013632,2015-12-06,twitter,rateDogs photo,11,pupper,1055,326
673576835670777856,2015-12-06,twitter,rateDogs photo,7,None,1426,590
673580926094458881,2015-12-06,twitter,rateDogs photo,8,None,855,280
673583129559498752,2015-12-06,twitter,rateDogs photo,11,None,1230,388
673612854080196609,2015-12-06,twitter,rateDogs photo,7,pupper,1638,764
673636718965334016,2015-12-06,twitter,rateDogs photo,10,None,1156,389
673656262056419329,2015-12-07,twitter,rateDogs photo,10,pupper,738,255
673662677122719744,2015-12-07,twitter,rateDogs photo,12,None,1293,381
673680198160809984,2015-12-07,twitter,rateDogs photo,13,None,1418,492
673686845050527744,2015-12-07,twitter,rateDogs photo,11,None,1492,458
673688752737402881,2015-12-07,twitter,rateDogs photo,9,None,1305,521
673689733134946305,2015-12-07,twitter,rateDogs photo,11,None,1799,682
673697980713705472,2015-12-07,twitter,rateDogs photo,8,pupper,3929,2072
673700254269775872,2015-12-07,twitter,rateDogs photo,3,None,1484,600
673705679337693185,2015-12-07,twitter,rateDogs photo,8,None,1299,419
